record_id,qa_status,source_id,focus_agent_id,state,locale,resolution,path,reviewed_slot_1_agent,reviewed_slot_2_agent,reviewed_slot_3_agent,suggested_slot_1_agent,suggested_slot_2_agent,suggested_slot_3_agent,reviewed_unknown_flag,suggested_unknown_flag,suggested_confidence
frame-cv_recent_001-cv_recent_001_001-inrun-000000,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000000.jpg,,,,agent_nicole,agent_lycaon,agent_lycaon,,false,slot_1_agent:0.6427; slot_2_agent:0.6392; slot_3_agent:0.6041
frame-cv_recent_001-cv_recent_001_001-inrun-000066,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000066.jpg,,,,agent_vivian,agent_vivian,unknown,,false,slot_1_agent:0.6763; slot_2_agent:0.6318; slot_3_agent:0.4511
frame-cv_recent_001-cv_recent_001_001-inrun-000099,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000099.jpg,,,,agent_lycaon,agent_vivian,agent_vivian,,false,slot_1_agent:0.6868; slot_2_agent:0.8099; slot_3_agent:0.6836
frame-cv_recent_001-cv_recent_001_001-inrun-000132,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000132.jpg,,,,agent_nicole,unknown,agent_lycaon,,false,slot_1_agent:0.5888; slot_2_agent:0.5466; slot_3_agent:0.6575
frame-cv_recent_001-cv_recent_001_001-inrun-000198,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000198.jpg,,,,agent_vivian,agent_nicole,agent_nicole,,false,slot_1_agent:0.5656; slot_2_agent:0.6253; slot_3_agent:0.6289
frame-cv_recent_001-cv_recent_001_001-inrun-000231,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000231.jpg,,,,agent_lycaon,unknown,unknown,,false,slot_1_agent:0.606; slot_2_agent:0.5499; slot_3_agent:0.5464
frame-cv_recent_001-cv_recent_001_001-inrun-000264,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000264.jpg,,,,agent_lycaon,agent_vivian,agent_vivian,,false,slot_1_agent:0.6682; slot_2_agent:0.7973; slot_3_agent:0.4722
frame-cv_recent_001-cv_recent_001_001-inrun-000297,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000297.jpg,,,,agent_nicole,agent_vivian,agent_vivian,,false,slot_1_agent:0.5719; slot_2_agent:0.6093; slot_3_agent:0.6439
frame-cv_recent_001-cv_recent_001_001-inrun-000330,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000330.jpg,,,,agent_lycaon,unknown,agent_vivian,,false,slot_1_agent:0.404; slot_2_agent:0.5221; slot_3_agent:0.5446
frame-cv_recent_001-cv_recent_001_001-inrun-000363,needs_review,cv_recent_001,,inrun,EN,1080p,D:\IKA_DATA\cv\frames_inrun\cv_recent_001_cv_recent_001_001_inrun_f000363.jpg,,,,agent_nicole,unknown,agent_vivian,,true,slot_1_agent:0.593; slot_2_agent:0.2673; slot_3_agent:0.5645
